medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
634,,HL,V+1,타원형,분홍,
635,,마크,500,타원형,분홍,
636,,HM,5,원형,분홍,
637,,HM,4,타원형,분홍,
638,,HM,10,사각형,주황,
639,,V분할선40,VL,타원형,노랑,
640,,마크,7,기타,하양,
641,,SAMSCA분할선  15,,원형,파랑,
642,,SAMSCA  30,,사각형,파랑,
643,,H분할선S,SOF,원형,하양,
644,,마크,D5,원형,분홍,
645,,HN,20,원형,노랑,
646,,ET,분할선,타원형,하양,
647,,hw,6,타원형,하양,
648,,柴胡,HAMSOA,사각형,노랑,
649,,SI,4,원형,노랑,
650,,TD,A분할선M,타원형,하양,
651,,I분할선Y,GM,타원형,하양,
652,,YI-76,분할선,타원형,하양,
653,,LM25,분할선,장방형,하양,
654,,ΛJ502,분할선,장방형,하양,
655,,WI PEN    75,,장방형,갈색,하양
656,,WI PEN   150,,장방형,하양,하양
657,,BMI 119,,장방형,빨강,하양
658,,마크,100,기타,하양,
659,,HL PGN75,,장방형,갈색,하양
660,,HL PGN150,,장방형,하양,하양
661,,AJU PG150,,장방형,하양,하양
662,,AJU PG75,,장방형,갈색,하양
663,,DC 25,분할선,타원형,하양,
664,,UNIMED PGN        75,,장방형,갈색,하양
665,,마크 PGN75,,장방형,갈색,하양
666,,마크 PGN150,,장방형,하양,하양
667,,UNIMED PGN       150,,장방형,하양,하양
668,,Z,분할선5,타원형,노랑,
669,,MK P150,,장방형,하양,하양
670,,AML100,분할선,원형,하양,
671,,DC 125,,타원형,하양,
672,,HM,TS2,원형,하양,
673,,더블락 더블락,,장방형,주황,주황
674,,화콜,,타원형,갈색,
675,,GNN,,타원형,"청록, 투명",
676,,GNC,,타원형,"노랑, 투명",
677,,I분할선D,,타원형,노랑,
678,,TBD,75,원형,회색,
679,,SNP LSC30,,장방형,초록,하양
680,,ET-JF,,타원형,빨강,
681,,폴리아린 에프,,장방형,노랑,노랑
682,,GOLD-B,,타원형,"노랑, 투명",
683,,H,N,원형,하양,
684,,R,U,원형,하양,
685,,DM80,,타원형,하양,
686,,WY20,,타원형,하양,
687,,MM,V분할선T,타원형,주황,
688,,MM,V분할선T,원형,분홍,
689,,D-W IB,,타원형,"노랑, 투명",
690,,SIL,A분할선X,장방형,주황,
691,,SRP,분할선,장방형,초록,
692,,마크,,원형,하양,
693,,NKMM,분할선,타원형,하양,
694,,CΛC,,원형,하양,
695,,RED-B,,타원형,"빨강, 투명",
696,,MI,AM분할선400,장방형,하양,
697,,마크,5,기타,하양,
698,,마크,10,기타,하양,
